status,issue,best
Satisfactory,validation-400,9
Satisfactory,validation-540,2
Satisfactory,validation-42,2
Satisfactory,validation-532,1
Satisfactory,validation-399,1
Satisfactory,validation-623,0
Satisfactory,validation-582,0
Satisfactory,validation-568,0
Satisfactory,validation-550,0
Satisfactory,validation-494,0
Satisfactory,validation-490,0
Satisfactory,validation-479,0
Satisfactory,validation-469,0
Satisfactory,validation-421,0
Satisfactory,validation-331,0
Satisfactory,validation-268,0
Satisfactory,validation-224,0
Satisfactory,validation-165,0
Satisfactory,validation-138,0
Satisfactory,findings-74,0
Unsatisfactory,validation-620,0
Unsatisfactory,validation-611,0
Unsatisfactory,validation-602,0
Unsatisfactory,validation-596,0
Unsatisfactory,validation-593,0
Unsatisfactory,validation-590,0
Unsatisfactory,validation-586,0
Unsatisfactory,validation-576,0
Unsatisfactory,validation-531,0
Unsatisfactory,validation-529,0
Unsatisfactory,validation-523,0
Unsatisfactory,validation-517,0
Unsatisfactory,validation-488,0
Unsatisfactory,validation-476,0
Unsatisfactory,validation-445,0
Unsatisfactory,validation-443,0
Unsatisfactory,validation-404,0
Unsatisfactory,validation-402,0
Unsatisfactory,validation-398,0
Unsatisfactory,validation-378,0
Unsatisfactory,validation-340,0
Unsatisfactory,validation-339,0
Unsatisfactory,validation-320,0
Unsatisfactory,validation-313,0
Unsatisfactory,validation-312,0
Unsatisfactory,validation-309,0
Unsatisfactory,validation-271,0
Unsatisfactory,validation-270,0
Unsatisfactory,validation-240,0
Unsatisfactory,validation-222,0
Unsatisfactory,validation-209,0
Unsatisfactory,validation-194,0
Unsatisfactory,validation-164,0
Unsatisfactory,validation-148,0
Unsatisfactory,validation-142,0
Unsatisfactory,validation-135,0
Unsatisfactory,validation-133,0
Unsatisfactory,validation-118,0
Unsatisfactory,validation-90,0
Unsatisfactory,validation-76,0
Unsatisfactory,validation-59,0
Unsatisfactory,validation-24,0
Unsatisfactory,validation-21,0
Unsatisfactory,validation-13,0
Unsatisfactory,validation-5,0
Unsatisfactory,findings-43,0
Unsatisfactory,findings-21,0